smiles,measured log solubility in mols per litre
c1ccc2c(c1)ccc3c4ccccc4ccc23,-8.057
Cc1ccccc1O,-0.62
CC(C)CCC(C)(C)C,-5.05
Cc1ccc(C)c2ccccc12,-4.14
Cc1cc2c3ccccc3ccc2c4ccccc14,-6.57
CCCC(=O)C,-0.19
CCCOC(=O)CC,-0.82
CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-3.68
Nc1ccc(O)cc1,-0.8
O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,-2.81
OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,-5.931
CCNc1nc(Cl)nc(n1)N(CC)CC,-4.06
NC(=O)c1cnccn1,-0.667
CCC(Br)(CC)C(=O)NC(N)=O,-2.68
Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,-5.46
CC1(C)C2CCC1(C)C(=O)C2,-1.96
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369
CCCCC(=O)OCC,-2.25
CC(C)CCOC(=O)C,-1.92
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.886
CCCBr,-1.73
CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-3.4930000000000003
COP(=S)(OC)SCC(=O)N(C)C=O,-1.995
Cc1ncnc2nccnc12,-0.466
NC(=S)N,0.32
Cc1ccc(C)cc1,-2.77
CCc1ccccc1CC,-3.28
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,-6.876
CCCN(=O)=O,-0.8
CC(C)C1CCC(C)CC1=O,-2.35
O=N(=O)c1c(Cl)c(Cl)ccc1,-3.48
c1ccc2c(c1)c3cccc4cccc2c34,-6.0
CCCOC(C)C,-1.34
Cc1cc(C)c2ccccc2c1,-4.29
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-5.64
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-7.25
CC(C)c1ccccc1,-3.27
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.45
C1OC(O)C(O)C(O)C1O,0.39
ClCCl,-0.63
CCc1cccc2ccccc12,-4.17
COC=O,0.58
Oc1ccccc1N(=O)=O,-1.74
CC(C)C,-2.55
OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,-1.23
Oc1c(I)cc(C#N)cc1I,-3.61
Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,-4.7
CCCCC,-3.18
c1ccccc1O,0.0
c1ccc2cnccc2c1,-1.45
COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,-4.432
CCCCCCc1ccccc1,-5.21
Clc1ccccc1c2ccccc2,-4.54
CCCC(=C)C,-3.03
CC(C)C(C)C(C)C,-4.8
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65
Oc1cccc(c1)N(=O)=O,-1.01
CCCCCCCCC=C,-5.51
CC(=O)OCC(COC(=O)C)OC(=O)C,-0.6
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-7.337000000000001
c1ccncc1,0.76
CCCCCCCBr,-4.43
Cc1ccncc1C,0.36
CCOC(=O)CC(=O)OCC,-0.82
CC1=CCC(CC1)C(C)=C,-4.26
C1Cc2ccccc2C1,-3.04
CC(C)(C)c1ccc(O)cc1,-2.41
Clc1cccc(I)c1,-3.55
Brc1cccc2ccccc12,-4.35
CC/C=C/C,-2.54
Cc1cccc(C)n1,0.45
ClC=C(Cl)Cl,-1.96
Nc1cccc2ccccc12,-1.92
Cc1cccc(C)c1,-2.82
Oc2ncc1nccnc1n2,-1.947
CO,1.57
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468
CCC(=O)C,0.52
Oc1cccc(O)c1,0.81
CCCCCCO,-1.24
CCCCCCl,-2.73
C=CC=C,-1.87
CCCOC(=O)C,-0.72
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62
Cc1ccc(Cl)cc1,-3.08
CSc1nnc(c(=O)n1N)C(C)(C)C,-2.253
Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,-6.01
CCCCCC=O,-1.3
CCCCOC(=O)c1ccc(N)cc1,-3.082
CC(C)=CCC/C(C)=C\CO,-2.46
O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.523
CCN(=O)=O,-0.22
CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-6.124
Clc1ccc(Cl)c(Cl)c1Cl,-4.57
CI,-1.0
O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.301
O=C1NC(=O)NC(=O)C1(CC)C(C)CC,-2.39
CCCCC(=O)CCCC,-2.58
CCC(C)CC,-3.68
CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,-8.6
Cc1ccccc1n3c(C)nc2ccccc2c3=O,-2.925
ClCC#N,-0.092
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.752000000000001
c1ccnnc1,1.1
Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63
C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,-7.32
Nc1ccccc1O,-0.72
CCCCCCCCC(=O)OCC,-3.8
CNC(=O)Oc1ccccc1OC(C)C,-2.05
CCC(C)Cl,-1.96
Oc1ccc2ccccc2c1,-2.28
CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,-5.696000000000001
CCCCC#C,-2.36
CCCCCCCC#C,-4.24
Cc1ccccc1Cl,-3.52
CC(C)OC(C)C,-1.1
Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,-3.094
CNN,1.34
CC#C,-0.41
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862
CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,-3.408
C=CC=O,0.57
Fc1ccccc1,-1.8
CCCCl,-1.47
CCOC(=O)C,-0.04
CCCC(C)(C)C,-4.36
Cc1cc(C)c(C)c(C)c1C,-4.0
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896
Cc1cccnc1C,0.38
CC(=C)C1CC=C(C)C(=O)C1,-2.06
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.736000000000001
COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,-3.571
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804
Cc1ccc(cc1N(=O)=O)N(=O)=O,-2.82
CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34
COc2cnc1ncncc1n2,-1.139
CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,-3.658
CC(=C)C=C,-2.03
CC(C)=CCCC(O)(C)C=C,-1.99
COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57
OC1CCCCC1,-0.44
O=C1NC(=O)NC(=O)C1(C)CC=C,-1.16
CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,-4.16
Cc1ccc(cc1)c2ccccc2,-4.62
CCNc1nc(Cl)nc(NC(C)C)n1,-3.85
NC(=S)Nc1ccccc1,-1.77
CCCC(=O)CCC,-1.3
CC(=O)C(C)(C)C,-0.72
Oc1ccc(Cl)cc1,-0.7
O=C1CCCCC1,-0.6
Cc1cccc(N)c1,-0.85
ClC(Cl)(Cl)C#N,-2.168
CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,-4.046
CCCCCCCCC(=O)C,-3.3
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785
CCOC(=O)c1ccc(N)cc1,-2.616
Clc1ccc(Cl)c(Cl)c1,-3.59
Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,-4.09
Oc1ccccc1O,0.62
CSC,-0.45
Cc1ccccc1Br,-2.23
CCOC(=O)N,0.85
CC(C)C(O)C(C)C,-1.22
c1ccc2ccccc2c1,-3.6
CCNc1ccccc1,-1.7
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-4.097
Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.02
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-6.89
O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.678
CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89
OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,-3.37
CCCCBr,-2.37
Brc1cc(Br)c(Br)cc1Br,-6.98
CC(C)CC(=O)C,-0.74
COc1ccc(Cl)cc1,-2.78
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.402000000000001
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.016
COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,-4.04
Ic1cccc2ccccc12,-4.55
OCC(O)C(O)C(O)C(O)CO,1.09
CCS,-0.6
ClCC(Cl)Cl,-1.48
CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,-2.09
NC(=O)c1ccccc1O,-1.82
Cc1ccccc1N(=O)=O,-2.33
O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,-2.766
CCc1ccccc1C,-3.21
CCCCCCCCl,-4.0
O=C1NC(=O)NC(=O)C1(CC)CC,-2.4
C(Cc1ccccc1)c2ccccc2,-4.62
ClC(Cl)C(Cl)Cl,-1.74
Cc1ccc2c(ccc3ccccc32)c1,-5.84
CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,0.523
CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,-5.282
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,-4.5760000000000005
COc1ccc(cc1)N(=O)=O,-2.41
CCCCCCCl,-3.12
Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,-9.16
OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,-0.41
CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334
CC(Cl)Cl,-1.29
Nc1ccc(cc1)S(N)(=O)=O,-1.34
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,-6.49
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194
Clc1cccc(Cl)c1Cl,-4.0
ClC(Cl)(Cl)Cl,-2.31
O=N(=O)c1cc(Cl)c(Cl)cc1,-3.2
OC1CCCCCCC1,-1.29
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.999
CCOc1ccc(NC(N)=O)cc1,-2.17
C/C1CCC(\C)CC1,-4.47
c1cnc2c(c1)ccc3ncccc23,-2.68
COC(C)(C)C,-0.24
COc1ccc(C=CC)cc1,-3.13
CCCCCCCCCCCCCCCCO,-7.0
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-8.23
O=C(Nc1ccccc1)Nc2ccccc2,-3.15
CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536
CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716
CCC(C)(C)CO,-1.04
CCCOC(=O)CCC,-1.75
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,-3.22
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2
C1CCCCCC1,-3.51
CCCOC=O,-0.49
CC(C)c1ccccc1C,-3.76
Nc1cccc(Cl)c1,-1.37
CC(C)CC(C)C,-4.26
o1c2ccccc2c3ccccc13,-4.6
CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,-3.42
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3.43
c3ccc2nc1ccccc1cc2c3,-3.67
CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.11
OCC1OC(O)C(O)C(O)C1O,0.74
Cc1cccc(O)c1,-0.68
O=N(=O)c1ccc(cc1)N(=O)=O,-3.39
CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,-2.696
CCCCCCCCCC(=O)OCC,-4.1
CN(C)C(=O)Nc1ccccc1,-1.6
CCCOCC,-0.66
CC(C)O,0.43
Cc1ccc2ccccc2c1,-3.77
ClC(Br)Br,-1.9
CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.43
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37
ClCc1ccccc1,-2.39
C/C=C/C=O,0.32
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924
Cc1c2ccccc2c(C)c3ccccc13,-6.57
CCCCCC(=O)OC,-1.87
CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,-4.328
CC(=O)Nc1ccc(F)cc1,-1.78
C1CCC=CC1,-2.59
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.09
c1cncnc1,1.1
Clc1ccc(cc1)N(=O)=O,-2.92
CCC(=O)OC,-0.14
Clc1ccccc1N(=O)=O,-2.55
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77
CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,-1.877
O=N(=O)c1ccccc1,-1.8
Ic1ccccc1,-3.01
COc1ccccc1OCC(O)COC(N)=O,-0.985
Oc1cccc(Cl)c1Cl,-1.3
CCCC(=O)OC,-1.92
CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.0
Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,-2.404
CCCCCC(=O)OCC,-2.35
CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,-5.47
COc1nc(NC(C)C)nc(NC(C)C)n1,-2.478
CCCCCCC=C,-4.44
Cc1ccc(N)cc1,-1.21
c1ccccc1(OC(=O)NC),-1.803
CCCC(O)CC,-0.8
Cc1ccc2cc3ccccc3cc2c1,-6.96
Cc1cccc(C)c1C,-3.2
CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.36
CCCCCCCC(C)O,-2.74
CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,-3.35
CCCC(=O)CC,-0.83
CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,-4.873
CC1=C(SCCO1)C(=O)Nc2ccccc2,-3.14
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.28
ClCBr,-0.89
CN(C)C(=O)Nc1ccc(C)c(Cl)c1,-3.483
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592
OC1CCCCCC1,-0.88
Oc1ccc(cc1)N(=O)=O,-0.74
ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,-6.307
C1CCOC1,0.49
Nc1ccccc1N(=O)=O,-1.96
Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,-7.28
Cc1c(cccc1N(=O)=O)N(=O)=O,-3.0
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.42
CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,-4.4110000000000005
c1(Br)c(Br)cc(Br)cc1,-4.5
O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,-2.356
c1(O)c(C)ccc(C(C)C)c1,-2.08
C1SC(=S)NC1(=O),-1.77
ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,-5.259
CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.86
C1CCCCC1,-3.1
ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,-7.278
CN(C)C=Nc1ccc(Cl)cc1C,-2.86
CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,-5.24
CCCCCCCCO,-2.39
CCSCC,-1.34
ClCCCl,-1.06
CCC(C)(C)Cl,-2.51
ClCCBr,-1.32
Nc1ccc(cc1)N(=O)=O,-2.37
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,-0.244
Clc1ccccc1,-2.38
CCCCCCCC=C,-5.05
Brc1ccc(I)cc1,-4.56
CCC(C)(O)CC,-0.36
CCCCCc1ccccc1,-4.64
OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,-4.571000000000001
ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-7.2
Clc1cccc2ccccc12,-3.93
CCCCC(C)O,-0.89
CCCC1CCCC1,-4.74
CCOC(=O)c1cncn1C(C)c2ccccc2,-4.735
Oc1ccc(Cl)c(Cl)c1,-1.25
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.017000000000001
c2ccc1ocnc1c2,-1.16
CCCCCO,-0.6
CCN(CC)c1ccccc1,-3.03
Fc1cccc(F)c1,-2.0
CC(C)(C)Cc1ccccc1,-4.15
O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,-2.322
Clc1ccccc1I,-3.54
c2ccc1[nH]nnc1c2,-0.78
CNC(=O)Oc1cccc2CC(C)(C)Oc12,-2.8
Cc1cccc(C)c1O,-1.29
CC(C)C(C)O,-0.18
c1ccccc1C(O)c2ccccc2,-2.55
CCCCCCCCCC(=O)OC,-4.69
COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O,-4.31
CC(C)CBr,-2.43
CCI,-1.6
CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C,-1.95
CCCCCCBr,-3.81
CCCC(C)C,-3.74
Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,-7.321000000000001
CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.003
Nc1nc[nH]n1,0.522
BrC(Br)Br,-1.91
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22
CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12,-5.233
OCc1ccccc1,-0.4
Oc1ccc(Br)cc1,-1.09
CC(C)Br,-1.59
CC(C)CC(C)(C)C,-4.74
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,-2.89
CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O,-3.796
CCC,-1.94
c1ccc2cc3c4cccc5cccc(c3cc2c1)c45,-8.49
OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-5.666
C1Cc2cccc3cccc1c23,-4.63
CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,-6.34
Brc1ccc(Br)cc1,-4.07
Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O,-2.82
Oc1ccc(cc1)c2ccccc2,-3.48
CCOC=C,-0.85
CCC#C,-1.24
CCCCC(C)(O)CC,-1.6
Clc1ccc(Cl)cc1,-3.27
O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.47
CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,-1.981
COc2ncc1nccnc1n2,-1.11
CNC(=O)Oc1ccccc1C2OCCO2,-1.57
C1N(C(=O)NCC(C)C)C(=O)NC1,-2.15
CC#N,0.26
CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2,-4.7
ClCC(Cl)(Cl)Cl,-2.18
CCCCO,0.0
CC1CCCCC1NC(=O)Nc2ccccc2,-4.11
Clc1cc(Cl)cc(Cl)c1,-4.48
O=Cc1ccco1,-0.1
CC(C)CCO,-0.51
CC(=C)C,-2.33
O=Cc1ccccc1,-1.19
CC(=C)C(=C)C,-2.4
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,-4.71
C1c2ccccc2c3ccccc13,-5.0
CC1CCCCC1,-3.85
COC(=O)c1ccc(O)cc1,-1.827
CC1CCCO1,0.11
CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C,-3.09
OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O,-0.85
CCCI,-2.29
CCNc1nc(NC(C)C)nc(SC)n1,-3.04
CCCO,0.62
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.817
CCCC(C)O,-0.29
OC(C(=O)c1ccccc1)c2ccccc2,-2.85
Cc1ccc(O)c(C)c1,-1.19
Clc1cccc(c1)N(=O)=O,-2.77
Cc2c(N)c(=O)n(c1ccccc1)n2C,-0.624
ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl,-4.92
CCNc1nc(NC(C)(C)C)nc(SC)n1,-4.0
CCC(C)CCO,-0.71
Cc2ncc1nccnc1n2,-0.12
CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,-5.507000000000001
CCCCI,-2.96
Brc1ccc2ccccc2c1,-4.4
FC(F)(F)c1ccccc1,-2.51
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-6.144
c1ccc2c(c1)sc3ccccc23,-4.38
c1ccccc1C(O)C(O)c2ccccc2,-1.93
COC(=O)c1ccccc1C(=O)OC,-1.66
CCCCCCCC(=O)OCC,-3.39
CCSSCC,-2.42
CCOCCOCC,-0.77
Clc1cc(Cl)c(Cl)cc1Cl,-5.56
Nc1ccc(cc1)c2ccc(N)cc2,-2.7
CCCCCC=C,-3.73
CCCCc1c(C)nc(NCC)[nH]c1=O,-3.028
O=C1NC(=O)NC(=O)C1(CC)C(C)CCC,-2.39
Nc1ccccc1Cl,-1.52
COc1cccc(Cl)c1,-2.78
CCCCN(CC)C(=O)SCCC,-3.53
CCCCOC=O,-1.37
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO,-3.18
BrC(Cl)Cl,-1.54
c1ccc(cc1)c2ccc(cc2)c3ccccc3,-7.11
Oc1ccc(C=O)cc1,-0.96
CBr,-0.79
Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2,-3.8
CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,-5.839
CCc1ccc2ccccc2c1,-4.29
c1c(NC(=O)c2ccccc2(I))cccc1,-4.21
Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C,-3.685
Fc1ccccc1Br,-2.7
Oc1ccc(Cl)cc1Cl,-1.55
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,-6.291
O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.907
C1CCCC1,-2.64
Cc1ccccc1N,-2.21
c1(OC)ccc(CC=C)cc1,-2.92
CC(C)C=C,-2.73
Oc1ccccn1,1.02
CC,-1.36
Clc1ccccc1Cl,-3.05
CC(=O)N,1.58
Cc1cccc2ccccc12,-3.7
CC(O)C(C)(C)C,-0.62
CCCC(=O)OCC,-1.36
c1ccc2c(c1)ccc3ccccc32,-5.26
Cc1ccnc(C)c1,0.38
CCCCCCCCCO,-3.01
BrCBr,-1.17
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59
Cc1ccc2cc(C)ccc2c1,-4.89
CCSC(=O)N(CC(C)C)CC(C)C,-3.68
Nc1cccc(c1)N(=O)=O,-2.19
CCCCCl,-2.03
Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F,-4.445
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1=O,-3.955
CC1CO1,-0.59
O=C3CN=C(c1ccccc1)c2cc(ccc2N3)N(=O)=O,-3.796
CCNC(=S)NCC,-1.46
Oc1cc(Cl)cc(Cl)c1Cl,-2.67
CCCCC(=O)OC,-1.34
Nc1ccccc1,-0.41
Cc1cccc2c(C)cccc12,-4.678999999999999
C1=Cc2cccc3cccc1c23,-3.96
CCCCCOC(=O)CC,-1.28
CCNc1nc(NC(C)C)nc(OC)n1,-2.084
c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,-8.699
CCBr,-1.09
CCC#CCC,-1.99
CCC(=C)C,-2.73
C1CCc2ccccc2C1,-4.37
Brc1cc(Br)cc(Br)c1,-5.6
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-5.72
Cc1cc(=O)[nH]c(=S)[nH]1,-2.436
COc1cc(CC=C)ccc1O,-1.56
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,-1.7080000000000002
c1cc2ccc3cccc4ccc(c1)c2c34,-6.176
CCOC(C)OCC,-0.43
